14:10:23 [INFO] Loaded 108 rounded instances
14:10:23 [INFO] ============================================================
14:10:23 [INFO] Starting: Llama 4 Maverick (rounded ablation)
14:14:45 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:15:11 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:15:33 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:15:33 [INFO] [Llama 4 Maverick] 20/108 acc=60.0% rec=53.8% fpr=28.6%
14:15:57 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:16:00 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:16:02 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:16:30 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:17:00 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:17:00 [INFO] [Llama 4 Maverick] 25/108 acc=60.0% rec=52.9% fpr=25.0%
14:17:28 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:17:50 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:18:11 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:18:27 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:18:31 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:18:31 [INFO] [Llama 4 Maverick] 30/108 acc=56.7% rec=50.0% fpr=30.0%
14:18:34 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:18:36 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:19:05 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:19:09 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:19:13 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:19:13 [INFO] [Llama 4 Maverick] 35/108 acc=57.1% rec=54.5% fpr=38.5%
14:19:26 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:19:29 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:19:34 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:20:06 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:20:38 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:20:38 [INFO] [Llama 4 Maverick] 40/108 acc=57.5% rec=56.0% fpr=40.0%
14:21:11 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:21:35 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:21:38 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:21:42 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:21:44 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:21:44 [INFO] [Llama 4 Maverick] 45/108 acc=53.3% rec=53.6% fpr=47.1%
14:21:47 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:21:49 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:21 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:27 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:31 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:31 [INFO] [Llama 4 Maverick] 50/108 acc=56.0% rec=59.4% fpr=50.0%
14:22:34 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:38 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:44 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:49 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:53 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:22:53 [INFO] [Llama 4 Maverick] 55/108 acc=58.2% rec=63.9% fpr=52.6%
14:22:56 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:23:00 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:23:33 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:24:17 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:24:21 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:24:21 [INFO] [Llama 4 Maverick] 60/108 acc=60.0% rec=65.8% fpr=50.0%
14:24:26 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:24:29 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:25:07 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:25:10 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:25:50 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:25:50 [INFO] [Llama 4 Maverick] 65/108 acc=61.5% rec=66.7% fpr=47.8%
14:26:21 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:26:56 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:26:59 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:27:02 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:27:06 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:27:06 [INFO] [Llama 4 Maverick] 70/108 acc=61.4% rec=66.7% fpr=48.0%
14:27:11 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:27:13 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:27:46 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:28:11 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:28:42 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:28:42 [INFO] [Llama 4 Maverick] 75/108 acc=60.0% rec=66.0% fpr=50.0%
14:28:46 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:29:20 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:29:23 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:29:29 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:30:04 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:30:04 [INFO] [Llama 4 Maverick] 80/108 acc=61.3% rec=67.3% fpr=48.4%
14:30:27 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:30:47 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:30:51 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:31:19 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:31:22 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:31:22 [INFO] [Llama 4 Maverick] 85/108 acc=60.0% rec=66.7% fpr=50.0%
14:31:48 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:31:50 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:31:54 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:31:57 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:02 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:02 [INFO] [Llama 4 Maverick] 90/108 acc=61.1% rec=68.5% fpr=50.0%
14:32:04 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:07 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:13 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:17 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:21 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:21 [INFO] [Llama 4 Maverick] 95/108 acc=61.1% rec=70.2% fpr=52.6%
14:32:25 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:29 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:32:35 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:33:08 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:33:34 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:33:34 [INFO] [Llama 4 Maverick] 100/108 acc=61.0% rec=70.0% fpr=52.5%
14:34:05 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:34:35 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:34:37 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:34:40 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:34:44 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:34:44 [INFO] [Llama 4 Maverick] 105/108 acc=60.0% rec=68.3% fpr=52.4%
14:35:07 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:35:49 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:36:27 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:36:27 [INFO] [Llama 4 Maverick] 108/108 acc=60.2% rec=67.7% fpr=51.2%
14:36:27 [INFO] Saved: /Users/silupanda/Downloads/finverification-bench/results/deepinfra_llama_rounded_cot_results.json
14:36:27 [INFO] ============================================================
14:36:27 [INFO] Starting: Qwen 3 235B (rounded ablation)
14:36:39 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:36:39 [INFO] [Qwen 3 235B] 1/108 acc=0.0% rec=0.0% fpr=100.0%
14:36:49 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:40:55 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:41:57 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:51:57 [INFO] Retrying request to /chat/completions in 0.457956 seconds
14:53:28 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:53:28 [INFO] [Qwen 3 235B] 5/108 acc=60.0% rec=66.7% fpr=50.0%
14:53:38 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:53:42 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:53:53 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:03 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:08 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:08 [INFO] [Qwen 3 235B] 10/108 acc=70.0% rec=71.4% fpr=33.3%
14:54:13 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:20 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:27 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:32 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:37 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:37 [INFO] [Qwen 3 235B] 15/108 acc=66.7% rec=77.8% fpr=50.0%
14:54:45 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:54:55 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:01 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:06 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:09 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:09 [INFO] [Qwen 3 235B] 20/108 acc=70.0% rec=84.6% fpr=57.1%
14:55:15 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:18 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:21 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:27 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:30 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:30 [INFO] [Qwen 3 235B] 25/108 acc=76.0% rec=88.2% fpr=50.0%
14:55:39 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:44 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:51 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:55:56 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:56:02 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:56:02 [INFO] [Qwen 3 235B] 30/108 acc=73.3% rec=80.0% fpr=40.0%
14:58:02 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:58:15 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:58:31 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:58:40 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:58:47 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:58:47 [INFO] [Qwen 3 235B] 35/108 acc=68.6% rec=81.8% fpr=53.8%
14:58:52 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:59:01 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:59:09 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:59:17 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:00:57 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:00:57 [INFO] [Qwen 3 235B] 40/108 acc=65.0% rec=80.0% fpr=60.0%
15:01:05 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:01:13 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:01:25 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:01:49 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:01:59 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:01:59 [INFO] [Qwen 3 235B] 45/108 acc=64.4% rec=82.1% fpr=64.7%
15:02:10 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:02:20 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:02:31 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:02:49 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:02:58 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:02:58 [INFO] [Qwen 3 235B] 50/108 acc=66.0% rec=84.4% fpr=66.7%
15:03:05 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:03:11 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:04:00 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:04:10 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:04:21 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:04:21 [INFO] [Qwen 3 235B] 55/108 acc=67.3% rec=86.1% fpr=68.4%
15:04:32 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:04:41 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:04:56 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:05:06 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:05:18 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:05:18 [INFO] [Qwen 3 235B] 60/108 acc=65.0% rec=86.8% fpr=72.7%
15:05:26 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:05:56 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:06:08 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:06:16 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:06:26 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:06:26 [INFO] [Qwen 3 235B] 65/108 acc=66.2% rec=88.1% fpr=73.9%
15:06:31 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:06:53 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:08:14 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:08:22 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:08:33 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:08:33 [INFO] [Qwen 3 235B] 70/108 acc=65.7% rec=86.7% fpr=72.0%
15:08:57 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:09:04 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:09:13 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:09:23 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:09:30 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:09:30 [INFO] [Qwen 3 235B] 75/108 acc=64.0% rec=85.1% fpr=71.4%
15:09:40 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:09:48 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:09:55 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:05 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:10 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:10 [INFO] [Qwen 3 235B] 80/108 acc=63.7% rec=85.7% fpr=71.0%
15:10:19 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:24 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:34 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:46 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:54 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:10:54 [INFO] [Qwen 3 235B] 85/108 acc=62.4% rec=84.3% fpr=70.6%
15:11:02 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:11:12 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:11:18 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
15:11:46 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
